Setting,Seed,Modes,Major-Modes,Minor-Modes,HQS,Real-KL,Real-RKL,Real-JSD,Real-TVD,Uniform-KL,Uniform-RKL,Uniform-JSD,Uniform-TVD
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-1-g_alpha-1-epoch_step-400,1,7,7.0,0.0,0.98492,2.413268484883582,0.9576354576623368,0.2746503121474204,0.617402431222009,2.413268484883582,0.9576354576623368,0.2746503121474204,0.617402431222009
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.6-g_alpha-1-epoch_step-400,2,6,6.0,0.0,0.97876,2.7090279559623034,0.7082014281874984,0.2121663413559812,0.49572136916186815,2.7090279559623034,0.7082014281874984,0.2121663413559812,0.49572136916186815
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.6-g_alpha-1-epoch_step-400,1,8,8.0,0.0,0.92864,0.5159051427173238,0.13592411594754372,0.044912498768217804,0.1303582853486884,0.5159051427173238,0.13592411594754372,0.044912498768217804,0.1303582853486884
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-1-g_alpha-1-epoch_step-400,2,4,4.0,0.0,0.96128,3.6931807885274806,0.7202235748500649,0.2201642463383323,0.49984005118362124,3.6931807885274806,0.7202235748500649,0.2201642463383323,0.49984005118362124
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.7-g_alpha-1-epoch_step-400,1,7,7.0,0.0,0.97816,1.7883155107841944,0.701348722835166,0.20689158075296935,0.49240243122200894,1.7883155107841944,0.701348722835166,0.20689158075296935,0.49240243122200894
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.5-g_alpha-1-epoch_step-400,2,5,5.0,0.0,0.97452,3.097463457830445,0.6944677610941223,0.21063561980659404,0.4951615483045425,3.097463457830445,0.6944677610941223,0.21063561980659404,0.4951615483045425
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-1-g_alpha-1-epoch_step-400,3,5,5.0,0.0,0.88836,2.1118117090638067,0.6891706838475816,0.20884078144587837,0.4961612284069098,2.1118117090638067,0.6891706838475816,0.20884078144587837,0.4961612284069098
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.6-g_alpha-1-epoch_step-400,3,8,8.0,0.0,0.98108,2.271956827578839,1.010744666122986,0.2788571751059984,0.6141234804862444,2.271956827578839,1.010744666122986,0.2788571751059984,0.6141234804862444
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.5-g_alpha-1-epoch_step-400,3,8,8.0,0.0,0.96116,2.82739490256163,1.314517213243338,0.35260535273525506,0.7386436340371081,2.82739490256163,1.314517213243338,0.35260535273525506,0.7386436340371081
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.9-g_alpha-1-epoch_step-400,1,3,3.0,0.0,0.9872,4.662286479634698,0.979709494209688,0.28955204237295074,0.6248000639795266,4.662286479634698,0.979709494209688,0.28955204237295074,0.6248000639795266
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.5-g_alpha-1-epoch_step-400,1,7,7.0,0.0,0.97664,1.8442703448741617,0.6965534899504416,0.2063211101877437,0.4933621241202815,1.8442703448741617,0.6965534899504416,0.2063211101877437,0.4933621241202815
